timestep,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/n_updates
403456,25.1814,960.0,4.659905,8.926485,-0.001811,-4.778254,0.008991,0.07832,0.2,0.0003,0.911311,1960.0
405504,25.9836,960.0,3.646262,5.438455,-0.002571,-4.754303,0.030318,0.150049,0.2,0.0003,0.955859,1970.0
407552,23.9034,960.0,2.475957,6.291097,-0.001943,-4.70364,0.006973,0.086133,0.2,0.0003,0.94124,1980.0
409600,25.3981,960.0,2.504752,6.064041,-0.002322,-4.57108,0.014221,0.129053,0.2,0.0003,0.940501,1990.0
411648,26.0844,960.0,2.809763,7.127869,-0.002964,-4.531658,0.023925,0.159814,0.2,0.0003,0.95042,2000.0
413696,27.9449,960.0,2.664706,6.742471,0.009575,-4.50801,0.026567,0.134424,0.2,0.0003,0.952303,2010.0
415744,26.3677,960.0,1.987815,6.545797,-0.000264,-4.494961,0.011301,0.113232,0.2,0.0003,0.957902,2020.0
417792,27.2989,960.0,3.202385,6.030094,-0.002151,-4.435544,0.008394,0.090771,0.2,0.0003,0.95941,2030.0
419840,29.0033,960.0,4.010976,6.338135,0.004914,-4.52766,0.014397,0.166357,0.2,0.0003,0.967726,2040.0
421888,27.3082,960.0,1.672187,5.167961,0.001326,-4.650823,0.016493,0.123047,0.2,0.0003,0.978017,2050.0
423936,30.3689,960.0,1.646028,4.651038,-0.00282,-4.595196,0.033373,0.126221,0.2,0.0003,0.973638,2060.0
425984,29.1732,960.0,1.78381,5.192182,-0.002753,-4.528913,0.007397,0.087646,0.2,0.0003,0.948529,2070.0
428032,30.8631,960.0,1.755678,5.592643,-0.004697,-4.516575,0.005704,0.056348,0.2,0.0003,0.931451,2080.0
430080,30.9485,960.0,2.480144,5.716287,-0.002025,-4.600801,0.010987,0.135254,0.2,0.0003,0.966056,2090.0
432128,29.4721,960.0,3.62169,8.472225,-0.006262,-4.579883,0.010028,0.10708,0.2,0.0003,0.943398,2100.0
434176,28.7349,960.0,2.537875,5.963542,-0.003082,-4.61822,0.015664,0.108203,0.2,0.0003,0.948839,2110.0
436224,29.0127,960.0,2.434,5.594885,-0.002618,-4.633428,0.011407,0.105762,0.2,0.0003,0.909515,2120.0
438272,26.7228,960.0,2.402234,5.647605,0.001129,-4.650507,0.005845,0.090234,0.2,0.0003,0.94517,2130.0
440320,25.2094,960.0,1.692304,4.236503,-0.004242,-4.618973,0.014144,0.087012,0.2,0.0003,0.914417,2140.0
